thetaL, thetaR, a, b
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
7.722605, 2.715314, 17.000000, 18.000000
8.200119, 3.028106, 16.000000, 20.000000
8.200119, 3.028106, 16.000000, 20.000000
7.973188, 2.961420, 19.000000, 21.000000
8.305182, 3.125337, 17.000000, 18.000000
8.305182, 3.125337, 17.000000, 18.000000
8.305182, 3.125337, 17.000000, 18.000000
7.989543, 3.031391, 19.000000, 20.000000
7.989543, 3.031391, 19.000000, 20.000000
8.410815, 3.027204, 18.000000, 19.000000
8.410815, 3.027204, 18.000000, 19.000000
8.410815, 3.027204, 18.000000, 19.000000
8.410815, 3.027204, 18.000000, 19.000000
8.410815, 3.027204, 18.000000, 19.000000
8.187234, 2.760850, 19.000000, 21.000000
8.187234, 2.760850, 19.000000, 21.000000
8.187234, 2.760850, 19.000000, 21.000000
8.187234, 2.760850, 19.000000, 21.000000
8.187234, 2.760850, 19.000000, 21.000000
8.187234, 2.760850, 19.000000, 21.000000
8.187234, 2.760850, 19.000000, 21.000000
8.187234, 2.760850, 19.000000, 21.000000
8.187234, 2.760850, 19.000000, 21.000000
8.187234, 2.760850, 19.000000, 21.000000
8.187234, 2.760850, 19.000000, 21.000000
8.187234, 2.760850, 19.000000, 21.000000
8.187234, 2.760850, 19.000000, 21.000000
8.187234, 2.760850, 19.000000, 21.000000
8.539206, 2.446480, 18.000000, 19.000000
8.452603, 2.766614, 20.000000, 21.000000
8.452603, 2.766614, 20.000000, 21.000000
8.452603, 2.766614, 20.000000, 21.000000
8.096531, 2.988022, 20.000000, 22.000000
8.096531, 2.988022, 20.000000, 22.000000
7.723423, 3.373266, 22.000000, 25.000000
7.361818, 3.373208, 23.000000, 25.000000
7.295512, 3.246324, 23.000000, 25.000000
7.295512, 3.246324, 23.000000, 25.000000
7.220469, 3.107237, 22.000000, 24.000000
7.174662, 3.224157, 23.000000, 24.000000
7.174662, 3.224157, 23.000000, 24.000000
7.174662, 3.224157, 23.000000, 24.000000
7.174662, 3.224157, 23.000000, 24.000000
7.174662, 3.224157, 23.000000, 24.000000
7.174662, 3.224157, 23.000000, 24.000000
7.174662, 3.224157, 23.000000, 24.000000
7.174662, 3.224157, 23.000000, 24.000000
7.174662, 3.224157, 23.000000, 24.000000
7.174662, 3.224157, 23.000000, 24.000000
7.174662, 3.224157, 23.000000, 24.000000
7.174662, 3.224157, 23.000000, 24.000000
7.174662, 3.224157, 23.000000, 24.000000
7.174662, 3.224157, 23.000000, 24.000000
7.174662, 3.224157, 23.000000, 24.000000
7.174662, 3.224157, 23.000000, 24.000000
7.174662, 3.224157, 23.000000, 24.000000
7.174662, 3.224157, 23.000000, 24.000000
7.174662, 3.224157, 23.000000, 24.000000
7.314939, 3.362042, 21.000000, 24.000000
7.314939, 3.362042, 21.000000, 24.000000
7.314939, 3.362042, 21.000000, 24.000000
7.314939, 3.362042, 21.000000, 24.000000
6.961734, 4.137199, 21.000000, 25.000000
6.498747, 4.667413, 23.000000, 25.000000
6.498747, 4.667413, 23.000000, 25.000000
6.498747, 4.667413, 23.000000, 25.000000
6.498747, 4.667413, 23.000000, 25.000000
6.498747, 4.667413, 23.000000, 25.000000
6.498747, 4.667413, 23.000000, 25.000000
6.601081, 4.520669, 23.000000, 24.000000
6.601081, 4.520669, 23.000000, 24.000000
6.601081, 4.520669, 23.000000, 24.000000
6.601081, 4.520669, 23.000000, 24.000000
6.601081, 4.520669, 23.000000, 24.000000
6.601081, 4.520669, 23.000000, 24.000000
6.601081, 4.520669, 23.000000, 24.000000
6.601081, 4.520669, 23.000000, 24.000000
6.601081, 4.520669, 23.000000, 24.000000
6.601081, 4.520669, 23.000000, 24.000000
6.601081, 4.520669, 23.000000, 24.000000
6.601081, 4.520669, 23.000000, 24.000000
6.604369, 4.505653, 26.000000, 27.000000
6.604369, 4.505653, 26.000000, 27.000000
6.604369, 4.505653, 26.000000, 27.000000
6.604369, 4.505653, 26.000000, 27.000000
6.604369, 4.505653, 26.000000, 27.000000
6.604369, 4.505653, 26.000000, 27.000000
6.604369, 4.505653, 26.000000, 27.000000
6.621847, 4.703314, 28.000000, 29.000000
6.621847, 4.703314, 28.000000, 29.000000
6.621847, 4.703314, 28.000000, 29.000000
6.621847, 4.703314, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.484262, 4.921718, 28.000000, 29.000000
6.674532, 4.784390, 26.000000, 28.000000
7.108810, 4.977879, 27.000000, 30.000000
7.108810, 4.977879, 27.000000, 30.000000
7.108810, 4.977879, 27.000000, 30.000000
7.225368, 5.277544, 27.000000, 29.000000
7.337807, 5.505401, 28.000000, 29.000000
7.337807, 5.505401, 28.000000, 29.000000
7.337807, 5.505401, 28.000000, 29.000000
7.337807, 5.505401, 28.000000, 29.000000
6.870989, 5.526342, 26.000000, 27.000000
6.414567, 5.882292, 27.000000, 28.000000
6.414567, 5.882292, 27.000000, 28.000000
6.414567, 5.882292, 27.000000, 28.000000
6.414567, 5.882292, 27.000000, 28.000000
6.506190, 5.614525, 27.000000, 28.000000
6.506190, 5.614525, 27.000000, 28.000000
6.625215, 5.244545, 25.000000, 27.000000
6.545031, 5.077081, 22.000000, 25.000000
6.373221, 5.207897, 22.000000, 26.000000
5.750529, 5.154505, 21.000000, 25.000000
5.749606, 4.787062, 20.000000, 24.000000
5.611149, 4.885998, 20.000000, 21.000000
5.152795, 4.444730, 17.000000, 20.000000
5.152795, 4.444730, 17.000000, 20.000000
5.152795, 4.444730, 17.000000, 20.000000
5.084170, 4.312061, 18.000000, 20.000000
5.084170, 4.312061, 18.000000, 20.000000
5.490723, 4.249847, 17.000000, 20.000000
5.490723, 4.249847, 17.000000, 20.000000
5.490723, 4.249847, 17.000000, 20.000000
5.490723, 4.249847, 17.000000, 20.000000
5.490723, 4.249847, 17.000000, 20.000000
5.701947, 4.411225, 14.000000, 19.000000
5.618481, 4.580338, 16.000000, 18.000000
5.995255, 4.938039, 15.000000, 17.000000
5.995255, 4.938039, 15.000000, 17.000000
5.995255, 4.938039, 15.000000, 17.000000
5.995255, 4.938039, 15.000000, 17.000000
5.995255, 4.938039, 15.000000, 17.000000
5.441627, 4.960002, 17.000000, 19.000000
5.441627, 4.960002, 17.000000, 19.000000
5.245954, 4.875812, 15.000000, 17.000000
5.245954, 4.875812, 15.000000, 17.000000
5.245954, 4.875812, 15.000000, 17.000000
5.245954, 4.875812, 15.000000, 17.000000
5.245954, 4.875812, 15.000000, 17.000000
5.245954, 4.875812, 15.000000, 17.000000
5.245954, 4.875812, 15.000000, 17.000000
5.174189, 5.240627, 15.000000, 16.000000
5.174189, 5.240627, 15.000000, 16.000000
5.174189, 5.240627, 15.000000, 16.000000
5.174189, 5.240627, 15.000000, 16.000000
5.174189, 5.240627, 15.000000, 16.000000
5.174189, 5.240627, 15.000000, 16.000000
5.174189, 5.240627, 15.000000, 16.000000
5.174189, 5.240627, 15.000000, 16.000000
5.087089, 5.080095, 17.000000, 18.000000
5.087089, 5.080095, 17.000000, 18.000000
5.087089, 5.080095, 17.000000, 18.000000
5.087089, 5.080095, 17.000000, 18.000000
5.087089, 5.080095, 17.000000, 18.000000
5.087089, 5.080095, 17.000000, 18.000000
5.087089, 5.080095, 17.000000, 18.000000
5.087089, 5.080095, 17.000000, 18.000000
5.087089, 5.080095, 17.000000, 18.000000
5.087089, 5.080095, 17.000000, 18.000000
5.087089, 5.080095, 17.000000, 18.000000
5.087089, 5.080095, 17.000000, 18.000000
5.087089, 5.080095, 17.000000, 18.000000
4.838750, 4.765735, 16.000000, 17.000000
4.462082, 4.732000, 16.000000, 18.000000
4.462082, 4.732000, 16.000000, 18.000000
4.462082, 4.732000, 16.000000, 18.000000
4.462082, 4.732000, 16.000000, 18.000000
4.462082, 4.732000, 16.000000, 18.000000
4.462082, 4.732000, 16.000000, 18.000000
4.462082, 4.732000, 16.000000, 18.000000
4.462082, 4.732000, 16.000000, 18.000000
4.462082, 4.732000, 16.000000, 18.000000
4.260330, 4.381090, 16.000000, 17.000000
4.260330, 4.381090, 16.000000, 17.000000
4.260330, 4.381090, 16.000000, 17.000000
4.260330, 4.381090, 16.000000, 17.000000
